seats,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
110,0.0152598360172,0.00784131806424,51.3853363522,0.247745903603,0,0,0.0967560882801,0.00293153766298,0,0.0413827363799,0.121462903857,0.00647966297328,0,0.0391408723316,0.0684589010393,0.00852471115719,0.00654670414052,0.0308834695385,0.0337555666479,0.0105111172945,0.0147663188657,0.0147663188657,0.0147663188657,0.0147663188657,859094668,12197553,31524039,1,0
112,0.0139149413083,0.00740522997225,53.2178311656,0.243629762762,0,0,0.0798300536673,0.00263791462032,0,0.0353156162644,0.112386547069,0.00588841789058,0,0.0358742632559,0.0645405295346,0.00774697990744,0.00580582873554,0.0287226854868,0.0316927824004,0.00955198989163,0.0134649192904,0.0134649192904,0.0134649192904,0.0134649192904,860181744,11110477,31524039,1,0
114,0.0126821211585,0.00693617658868,54.6925589339,0.23961874708,0,0,0.0650914634146,0.00237089012397,0,0.0307390407138,0.104978813559,0.00534757533856,0,0.0329734064661,0.0600930951889,0.00703980489754,0.0049021689198,0.0266365148023,0.0296449208265,0.00864712575954,0.0122719696797,0.0122719696797,0.0122719696797,0.0122719696797,861127583,10164638,31524039,1,0
116,0.0114905916357,0.00651113707569,56.6649419118,0.235726696893,0,0,0.0485342401501,0.00212195388222,0,0.0283309562025,0.0963886748844,0.00483004374429,0,0.0298896735334,0.0564278571769,0.00635095592056,0.00412845659772,0.0246697683449,0.0276563925204,0.00777347890476,0.0111189753191,0.0111189753191,0.0111189753191,0.0111189753191,862002680,9289541,31524039,1,0
118,0.010476021943,0.00608146817616,58.0513119316,0.231950902504,0,0,0.0329685362517,0.00191684114541,0,0.0249260823614,0.0906022504708,0.00439585540475,0,0.0271051427283,0.0526209595722,0.005778689307,0.00357070700028,0.0228226603135,0.0259044824349,0.00707039622748,0.0101372177447,0.0101372177447,0.0101372177447,0.0101372177447,862819457,8472764,31524039,1,0
120,0.0095558308264,0.00576549930563,60.3348825484,0.228285870718,0,0,0.0220535500837,0.00173069874937,0,0.0206060813771,0.0846246798493,0.00399746545133,0,0.0246863642092,0.0499984412234,0.0052532116609,0.00300883405734,0.0213537647013,0.0243700085234,0.00640909081946,0.00924678645631,0.00924678645631,0.00924678645631,0.00924678645631,863579123,7713098,31524039,1,0
122,0.00873001828585,0.00544108190868,62.3261227013,0.224732306669,0,0,0.0063725490196,0.00156479795293,0,0.017413121885,0.079972259887,0.00363812007886,0,0.0228411020322,0.047137569056,0.0047794510808,0.00247624928953,0.0199146715962,0.0228060466907,0.00581763963804,0.00844768145391,0.00844768145391,0.00844768145391,0.00844768145391,864305340,6986881,31524039,1,0
124,0.00788650976228,0.00513040345106,65.0529017994,0.221273586464,0,0,0,0.00139803696591,0,0.014480223865,0.0729984274953,0.00327823842304,0,0.0203890484339,0.0444928811961,0.00430094926107,0.0019541852638,0.0184110420923,0.021335522846,0.00522867973808,0.00763145277289,0.00763145277289,0.00763145277289,0.00763145277289,864954209,6338012,31524039,1,0
126,0.0071609744588,0.00483463863764,67.5136975485,0.217919230384,0,0,0,0.00125538059927,0,0.0122881128394,0.0674715151515,0.00296743503392,0,0.0189177889164,0.0419522773992,0.00388999903727,0.00157258947379,0.0170714334766,0.0197914579112,0.00471238352194,0.00692938194936,0.00692938194936,0.00692938194936,0.00692938194936,865581484,5710737,31524039,1,0
128,0.00643543915531,0.00454176637919,70.5743037822,0.214660792524,0,0,0,0.00111313188912,0,0.00921608462957,0.0619874747475,0.00265661781524,0,0.0171306897318,0.0394566389689,0.00347740926653,0.00117634959622,0.0156822968151,0.01841472948,0.00419220573137,0.00622731112582,0.00622731112582,0.00622731112582,0.00622731112582,866172825,5119396,31524039,1,0
