alpha,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
0.44,0.0440688963605,0.0117576686617,26.6801976739,0.57896472988,0,0.333333333333,0.634006734007,0.0454293637885,0.0468436081484,0.137899870252,0.187076923077,0.0537304946477,0.048719776547,0.117380345536,0.124816832293,0.052741851325,0.0490844528301,0.0983281488801,0.103099243896,0.0490890459636,0.0434313568803,0.0434313568803,0.0434313568803,0.0434313568803,829404687,41887534,1692362541770,42.5961130742,4.5741887044
0.45,0.0438152539374,0.0117124620623,26.7314713708,0.575899865911,0,0.333333333333,0.666666666667,0.0456251274552,0.0457769048715,0.14044484669,0.214145299145,0.0538765769135,0.0475798758263,0.121293748746,0.137311091252,0.0530506697886,0.0486956503418,0.0969322683494,0.101964338414,0.0487394019283,0.0431802095938,0.0431802095938,0.0431802095938,0.0431802095938,829617743,41674478,1730068261410,42.7721672556,4.58575061498
0.46,0.0434023476671,0.0116829165535,26.9177064871,0.573654360048,0,0.333333333333,0.666666666667,0.04522609241,0.0459427767355,0.142615012107,0.214145299145,0.0537778010224,0.0480108526222,0.119476484738,0.137766855327,0.0529139554641,0.0484854154834,0.096518292456,0.100170084484,0.04851332309,0.042809196557,0.042809196557,0.042809196557,0.042809196557,830097486,41194735,1757842393110,42.9482273263,4.59951847399
0.47,0.0431074146169,0.0115103071725,26.7014555961,0.571291871512,0,0.333333333333,0.666666666667,0.0462430812896,0.045515753129,0.141816920943,0.217307692308,0.0541084574354,0.0474936684666,0.124057727192,0.140318776488,0.0532140152707,0.048877208272,0.0955483934998,0.0992273414891,0.0482818091503,0.0425295098062,0.0425295098062,0.0425295098062,0.0425295098062,830284193,41008028,1789122750510,43.1176737338,4.61143251127
0.48,0.0427181029906,0.0113866297005,26.6552793858,0.568825385307,0,0.333333333333,0.666666666667,0.0457312101599,0.0467299594571,0.141816920943,0.200316239316,0.0532893844696,0.0470268865229,0.11953889185,0.128208718101,0.05201991263,0.0477740184949,0.0949299008291,0.100280270846,0.0477781173074,0.0421470809836,0.0421470809836,0.0421470809836,0.0421470809836,830526481,40765740,1818150677310,43.2940518257,4.62648368108
0.49,0.0425116498555,0.011306501406,26.596242311,0.566505641721,0,0.333333333333,0.666666666667,0.0469337070764,0.0450239495067,0.144837890333,0.205643812709,0.0540178203342,0.0474432753645,0.12071605177,0.134452057062,0.0523292650152,0.04832420581,0.0940827399525,0.0992551092955,0.0477070622076,0.0419530126259,0.0419530126259,0.0419530126259,0.0419530126259,830507929,40784292,1848069504810,43.4619729093,4.641843272
0.5,0.0423818793134,0.0113102136912,26.6864373982,0.564345114819,0,0.333333333333,0.666666666667,0.0476804485423,0.045550119777,0.144837890333,0.205643812709,0.0541622060028,0.0474330603653,0.119741403665,0.131572419157,0.0524968901126,0.0483789196731,0.0962704151605,0.100655339885,0.0478883003792,0.0418616863399,0.0418616863399,0.0418616863399,0.0418616863399,830544456,40747765,1876314986610,43.6248586572,4.65425328799
0.51,0.041756621247,0.0112212007697,26.8728657507,0.562118151744,0,0.333333333333,0.666666666667,0.0464790590104,0.0450239495067,0.141232972407,0.188443935927,0.0530129355608,0.0474404358006,0.119261254293,0.129344901201,0.0515346923983,0.0472181425017,0.0950502377725,0.100518270579,0.047025252265,0.041176739195,0.041176739195,0.041176739195,0.041176739195,831421590,39870631,1906381073950,43.8081095406,4.67055314909
0.52,0.0414734855188,0.0110914571348,26.7434892342,0.559747237188,0,0.333333333333,0.666666666667,0.0462206116496,0.0442805661229,0.137894795999,0.188443935927,0.0528375207525,0.0462414222701,0.119261254293,0.129344901201,0.0514289228286,0.0464663993064,0.0951729758522,0.100435852023,0.0468573035065,0.0409255919085,0.0409255919085,0.0409255919085,0.0409255919085,831684699,39607522,1934705669050,43.9888574794,4.68316413783
0.53,0.0410959712145,0.0110873372683,26.979134306,0.557470692325,0,0.333333333333,0.666666666667,0.0458767443518,0.0443243906931,0.135165420656,0.184422196796,0.052150516229,0.0461477970303,0.119261254293,0.126717555357,0.0507969303216,0.0461639779096,0.0935099389031,0.09828481971,0.0462498969977,0.0405146236215,0.0405146236215,0.0405146236215,0.0405146236215,832178810,39113411,1962155205550,44.1668669022,4.69848157973
